OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
Uniq2778,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,
Uniq65137,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Uniq23871,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis
Uniq96550,Bacteria,Firmicutes,,,,,
Uniq96747,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis
Uniq97691,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,
Uniq100070,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,
Uniq7747,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Turicella,Turicella_otitidis
Uniq72838,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,
Uniq112570,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
Uniq102266,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,
Uniq93681,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
Uniq90050,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,
Uniq30158,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
Uniq45759,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,
Uniq64644,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_dentium
Uniq155,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
Uniq97,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter
Uniq30338,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_nucleatum
Uniq92070,Bacteria,Firmicutes,,,,,
Uniq105742,Bacteria,Proteobacteria,,,,,
Uniq87585,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella
